sentence_id,year,month,year_month,source,period,sentence,sentiment_label,sentiment_score,confidence
00010,2016,11,2016-11,bbc_news_tv,control,a person who could once going hospital may come at not being added to rare for hospital may come at not being added to care for themselves because of to rare for themselves because of the length of to care for themselves because of the length of time they have been in hospital.,negative,-1,0.9947102069854736
00011,2016,11,2016-11,bbc_news_tv,control,"anything we can do to keep patients out of ran do to keep patients out of hospital is a can do to keep patients out of hospital is a good thing, and better for them.",neutral,0,0.9982130527496338
00012,2016,11,2016-11,bbc_news_tv,control,"when people turn up at hospital, the first thing they do is undress them and put them in a hospital gown.",negative,-1,0.998723566532135
00013,2016,11,2016-11,bbc_news_tv,control,a person who could once go into hospital being able to walk may come out not being able to care for themselves because of the length of time they have been in hospital.,negative,-1,0.9988000392913818
00014,2016,10,2016-10,bbc_news_tv,control,"but when you look at the top of the new rules by and at the top of the new mles by and you ran see the at the top of the new rules by and you can see the stringy material you ran see the stringy material which is you can see the stringy material which is classified cartledge, which which is classified arﬂedge, which we which is classified cartledge, which we haven’t seen -- nearal spine.",negative,-1,0.9938288331031799
00015,2016,10,2016-10,bbc_news_tv,control,"it is looking into the terms and conditions of online betting accounts, and wants to know in some cases the industry has in some rases the industry has been in some cases the industry has been cancelling winning bets and refusing to pay out.",negative,-1,0.9990068078041077
00016,2016,10,2016-10,bbc_news_tv,control,"in the sport, england turned the first test around which the mark two quick wickets for spinner moeen ali put the visitors back in contention in the first test against bangladesh.",neutral,0,0.998193085193634
00017,2016,09,2016-09,bbc_news_tv,control,"as an example of the positive aspects that run the of the positive aspects that the way, a short of the positive aspects that run the way, a short way down the peninsulas, we have the hill houston business, the business park.",neutral,0,0.9978110194206238
00018,2016,09,2016-09,bbc_news_tv,control,"he mentioned the ban started in 1989, are we in a positive case with are we in a positive rase with regards to are we in a positive case with regards to this or is there still as much work to be done as ever?",neutral,0,0.9967653751373291
00019,2017,04,2017-04,bbc_news_tv,control,"up till now, we have been able to close nine of the 326 cases able to dose nine of the 326 cases of able to dose nine of the 326 rases of restoring able to close nine of the 326 cases of restoring family links.",neutral,0,0.9975791573524475
00020,2017,04,2017-04,bbc_news_tv,control,"we have been moving to more positive growth, still below 1% but nevertheless positive.",neutral,0,0.9984897375106812
00021,2017,04,2017-04,bbc_news_tv,control,negative or positive.,neutral,0,0.9920295476913452
00022,2017,08,2017-08,bbc_news_tv,control,and it took 100 matches but moeen ali is the first player to take a test hat-trick at the oval as england win the third test against south africa.,neutral,0,0.998331606388092
00023,2017,08,2017-08,bbc_news_tv,control,it was also the first time ever in test match cricket that three left handers were dismissed fora hat-trick as the hosts beat south africa by 239 runs to win the third test.,neutral,0,0.9838734269142151
00024,2017,08,2017-08,bbc_news_tv,control,england now hold a 2-1 series lead as the only real south african resistance came from dean elgar who hit his eighth test century with the fourth and final test starting at old trafford on friday.,neutral,0,0.998281717300415
00025,2017,08,2017-08,bbc_news_tv,control,"everywhere the united states has supported a regime change in pushed it and in many uses change in pushed it and in many cases succeeded in getting it, it rases succeeded in getting it, it has cases succeeded in getting it, it has been very, very bad.",negative,-1,0.9992877840995789
00026,2017,08,2017-08,bbc_news_tv,control,"you call the president a destructor, in many cases he is, a destmctor, in many cases he is, he’s a a destmctor, in many rases he is, he’s a positive a destructor, in many cases he is, he’s a positive disruptive force in he’s a positive dismptive force in washington he’s a positive disruptive force in washington and that’s we call washington and that’s we all washington washington and that’s we call washington the swamp.",neutral,0,0.9945809245109558
00027,2017,08,2017-08,bbc_news_tv,control,"the 28 year old kenyan also holds the world record set in the same stadioum in 2012, although his form this year hasn’t been as good cricket, and moeen ali took the first test hat-trick at the oval to win the 100th men’s test at the ground.",neutral,0,0.9981446266174316
00028,2017,08,2017-08,bbc_news_tv,control,"in many cases he is, he’s a positive disruptive force in washington and that’s we call washington ""the swamp"".",neutral,0,0.9985044002532959
00029,2017,12,2017-12,bbc_news_tv,control,you are the treasury minister and you don’t know if there is a cost benefit analysis inside government on the benefits of taking measures to tackle air pollution on public health.,negative,-1,0.9994766116142273
00030,2017,12,2017-12,bbc_news_tv,control,"by modifying the rules for each individual the mles for each individual athlete, the rules for each individual athlete, they encourage people with a range of capabilities to compete together.",neutral,0,0.9988346695899963
00031,2017,02,2017-02,bbc_news_tv,control,lord coe has vowed to salvage the credibility of the sport he now rules but the past the sport he now mles but the past continues the sport he now rules but the past continues to blight his attempts to look to the future.,negative,-1,0.9988182187080383
00032,2017,02,2017-02,bbc_news_tv,control,ben barba won the grand final with the cronulla sharks last year before testing positive to the banned stimulant days later.,negative,-1,0.9980145692825317
00033,2017,02,2017-02,bbc_news_tv,control,over the past year there has been a decline in the number of our recommendations over role that have been implemented and most worryingly a decline in the area of the recommendations in the area of safety.,negative,-1,0.999481737613678
00034,2017,02,2017-02,bbc_news_tv,control,the scientists will start testing the technology by the end of the year.,neutral,0,0.9965057373046875
00035,2017,02,2017-02,bbc_news_tv,control,scientists will start testing the technology by the end of the year.,neutral,0,0.9960817694664001
00036,2017,02,2017-02,bbc_news_tv,control,"scientists will start testing the technology by the end the mission to antarctica will be a gamble, but the team hopes it’s one that will pay off.",neutral,0,0.9987554550170898
00037,2017,02,2017-02,bbc_news_tv,control,"it measures blood oxygen levels in the brain, to work out whether the person wants to answer ‘yes’ or ‘no’.",neutral,0,0.9985236525535583
00038,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0,0.9971866011619568
00039,2017,01,2017-01,bbc_news_tv,control,"and so job losses have been mounting, farmers have been finding it difficult to access money to pay for seeds and labourers and so in an attempt to soften the blow and help those worst affected, the prime minister announced a number of measures in a televised speech in new year’s eve, offering discounts on interest rates for small home loans, incentives for small businesses, waivers for farmers who took loans to sow crops and incentives for pregnant women and the elderly, and measures to encourage people to make digital payments rather than use cash.",neutral,0,0.9973863959312439
00040,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0,0.9971866011619568
00041,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0,0.9971866011619568
00042,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0,0.9971866011619568
00043,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0,0.9971866011619568
00044,2017,07,2017-07,bbc_news_tv,control,"the world health organisation has announced that 1,500 people have now died because of a cholera outbreak in yemen.",negative,-1,0.9915896058082581
00045,2017,07,2017-07,bbc_news_tv,control,the said there were nearly a quarter-of-a-million suspected cases of the disease in the country since the outbreak started in april.,negative,-1,0.9913966059684753
00046,2017,07,2017-07,bbc_news_tv,control,"the world health organisation says around a 250,000 suspected cases of the disease have been reported since april.",negative,-1,0.9912926554679871
00047,2017,07,2017-07,bbc_news_tv,control,"the official rules say that the wife the official mles say that the wife to carry the official rules say that the wife to carry maybe your own wife, a neighbour, or someone else, and she must be at least 17 years old.",negative,-1,0.9860439300537109
00048,2017,06,2017-06,bbc_news_tv,control,"well, we have been very clear, if you look out there, national health service in our country, we saw it in manchester didn’t we, the incredible dedication, professionalism and care of people who work in our health service.",neutral,0,0.9988164901733398
00049,2017,06,2017-06,bbc_news_tv,control,"just visit florida, a picture as frontline in florida, a picture as fronﬂine in the wall florida, a picture as frontline in the wall against pollution.",neutral,0,0.9971576929092407
00050,2017,06,2017-06,bbc_news_tv,control,"he has gone , assen without leave, and california will work with president jinping to do what we can to offset the negative what we ran to offset the negative pathway what we can to offset the negative pathway taken by donald trump.",negative,-1,0.9957205653190613
00051,2017,06,2017-06,bbc_news_tv,control,"tour the scientists, engineers, and responsible citizens disappointed by the united states a positive decision, i want to say this: you will find a second home in france.",neutral,0,0.9980079531669617
00052,2017,06,2017-06,bbc_news_tv,control,"as i understand, it is not the paris limate understand, it is not the paris climate accord, or green measures, limate accord, or green measures, that are killing climate accord, or green measures, that are killing the coal industry, but elements of the market, such as cheaper energy that happens to be greener?",negative,-1,0.987128734588623
00053,2017,06,2017-06,bbc_news_tv,control,"we have also had reports from the local also had reports from the oral hospital also had reports from the local hospital that people suffered broken bones as others were trying to jump out of windows to escape from this, and that it was a stampede of people trying to get out of the complex that injured a lot of people.",negative,-1,0.9956979751586914
00054,2017,03,2017-03,bbc_news_tv,control,scientists in the and collect mral can scientists in the and collect rural drug can greatly reduce the incidence of heart disease.,neutral,0,0.9977731108665466
00055,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",negative,-1,0.9947047829627991
00056,2017,11,2017-11,bbc_news_tv,control,having someone with a wall street background could have a big impact going forward as to what the rules and regulations to what the mles and regulations might look to what the rules and regulations might look like because that is part of the central bank’s mandate.,neutral,0,0.997784435749054
00057,2017,11,2017-11,bbc_news_tv,control,singaporean scientists have brewed a probiotic beer they say can improve probiotic beer they say ran improve the probiotic beer they say can improve the health and boost the immune system.,neutral,0,0.9964483976364136
00058,2017,11,2017-11,bbc_news_tv,control,cricket and west indies have won their two-test series in zimbabwe after the 2nd test in bulawayo ended in a draw.,neutral,0,0.9982510209083557
00059,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",negative,-1,0.9947047829627991
00060,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",negative,-1,0.9947047829627991
00061,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",negative,-1,0.9947047829627991
00062,2017,11,2017-11,bbc_news_tv,control,dose to full employment and recovery.,neutral,0,0.9985302686691284
00063,2017,10,2017-10,bbc_news_tv,control,"inside cells are layers of sheets stacked together, a positive cathode, negative anode, with a separator in between filled with a liquid electrolyte.",neutral,0,0.9862886667251587
00064,2017,09,2017-09,bbc_news_tv,control,samsung has been granted permission to test the self driving tars permission to test the self driving cars in california.,neutral,0,0.9949042797088623
00065,2017,09,2017-09,bbc_news_tv,control,positive economic data at easing tensions in north korea currently having a positive reaction on the asian markets.,neutral,0,0.9987346529960632
00066,2018,04,2018-04,bbc_news_tv,control,"we understand other cause cancer, we know that cancer is ultimately caused by mutations in , these mutations can arise , these mutations ran arise berause , these mutations can arise because of errors in , you can because of errors in , you ran all them, because of errors in , you can call them, these mutations can arise all them, these mutations ran arise berause you ran call them, these mutations can arise because you can inherit the errant because you ran inherit the errant gene, because because you can inherit the errant gene, because the mutation can be gene, berause the mutation ran be raused by a gene, because the mutation can be caused by a carcinogen, like x-rays or smoking, the mutations can be or smoking, the mutations ran be caused or or smoking, the mutations can be caused or bought into cells to vimses caused or bought into cells to viruses and they can occur because vimses and they ran occur because of random viruses and they can occur because of random chance, when cells replicate themselves, like any copying machine, they can make copying machine, they ran make errors.",neutral,0,0.9878262877464294
00067,2018,04,2018-04,bbc_news_tv,control,"we know that there are many virally cause cancers and those virally caused cancers can and those virally caused cancers ran be, their life and those virally caused cancers can be, their life cycle can be changed be, their life cycle ran be changed as it were be, their life cycle can be changed as it were the vaccination against vimses, as it were the vaccination against viruses, such as the human papilloma virus that causes cervical cancer, so there is a whole host from prevention, early detection, treatment and cure that we have understood in the last 50 years.",neutral,0,0.9965998530387878
00068,2018,04,2018-04,bbc_news_tv,control,"but we still do not understand the instance, pancreatic cancer remains cold to immune therapy, do is press fencer cold to immune therapy, do is press cancer for the most part remain cold to immunotherapy?",negative,-1,0.9988497495651245
00069,2018,04,2018-04,bbc_news_tv,control,you say that at times you walk down the corridors of your hospital after a particularty corridors of your hospital after a particularly gruelling shift and you struggle to find the sympathy that you feel you should have for some of the patients in your care.,negative,-1,0.9941835999488831
00070,2018,04,2018-04,bbc_news_tv,control,"and so what tends to happen in these cases is what was to happen in these rases is what was a prediction, to happen in these cases is what was a prediction, once the time passes, becomes, quote, fact, without them having been able to actually confirm it.",negative,-1,0.9970752000808716
00071,2018,04,2018-04,bbc_news_tv,control,"based on the positive identification of this chemical agent by world leading experts at the defence science and technology laboratory, given in the past that russia has reproduced this agent and still would be capable of doing so, russia positive record of conducting state-sponsored assassinations and our assessment that russia views some defectors as legitimate targets for assassinations.",neutral,0,0.9968902468681335
00072,2018,04,2018-04,bbc_news_tv,control,"on the side, you have all these people who think, even if they don’t agree with donald trump’s tariff measures, because they are tariff measures, berause they are opposed to tariff measures, because they are opposed to that, you know, they could see that it could be in breach of world trade organization provisions, but nevertheless here is provisions, but neverthelass here is criticism provisions, but nevertheless here is criticism of china of stealing the , intellectual property of international companies, i think a lot of international observers would have something to be with that.",negative,-1,0.9934862852096558
00073,2018,04,2018-04,bbc_news_tv,control,"we know that there are many virally caused cancers and those virally caused cancers can be, can be - their life cycle can be changed as it were, through vaccination against viruses, such as the human papilloma virus that causes cervical cancer.",neutral,0,0.9901379346847534
00074,2018,08,2018-08,bbc_news_tv,control,"but in a moment which change the course of the day and will perhaps change the course of the test, root out by virat change the course of the test, root run out by virat kohli, a superb out by virat kohli, a superb piece of fear run out by virat kohli, a superb piece of fear field in which triggered that collapse.",neutral,0,0.9985432624816895
00075,2018,08,2018-08,bbc_news_tv,control,"more typically, you looked at the figures you know, you give them for the ‘205, when they were across the homes roughly around 30%, which was, so, four or five times the national mortality rate mortality rate, and spiking up to 50% regularly.",negative,-1,0.9853202700614929
00076,2018,08,2018-08,bbc_news_tv,control,"more typically, you looked at the figures you give them for the ‘205, when they were across the homes roughly around 30%, which was, so, four or five times the national mortality rate mortality rate, and spiking up to 50% regularly.",negative,-1,0.9946452379226685
00077,2018,08,2018-08,bbc_news_tv,control,"it is where future generations of elite test pilot ran future generations of elite test pilot can learn not how to pilot ran learn not just how to analyse how pilot can learn notjust how to analyse how the aircraft lies, but the way its electronics work, because electronic systems are an increasingly important part of the aviation industry today.",neutral,0,0.998565137386322
00078,2018,08,2018-08,bbc_news_tv,control,"that predominantly lies in the european market for civil test pilots, not for aircraft test pilots, notjust for aircraft manufacturers in europe, but some of the operators with special needs.",negative,-1,0.9959805011749268
00079,2018,12,2018-12,bbc_news_tv,control,salvador’s national hospital is often the first point of call for domestic violence cases.,neutral,0,0.9976150989532471
00080,2018,12,2018-12,bbc_news_tv,control,they are trying to agree on the technical rules that will apply to technical mles that will apply to all technical rules that will apply to all countries when the paris agreement comes into force in 2020.,neutral,0,0.9966758489608765
00081,2018,02,2018-02,bbc_news_tv,control,"and while the proportion of people dying from prostate cancer, the mortality rate, has fallen in the past decade, down by 6%, the decline in deaths from breast cancer has been even greater, at more than 10%.",neutral,0,0.9984959363937378
00082,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,negative,-1,0.997057318687439
00083,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,negative,-1,0.997057318687439
00084,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,negative,-1,0.997057318687439
00085,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,negative,-1,0.997057318687439
00086,2018,02,2018-02,bbc_news_tv,control,what will happen if the test is negative and you’re not related?,negative,-1,0.9993458390235901
00087,2018,01,2018-01,bbc_news_tv,control,"clearly the high profile cases cleariy the high profila cases focusing clearly the high profile cases focusing on key figures, men in the entertainment business accused of sexual harassment but this is about women and men in less famous women and men in lass famous jobs, shall women and men in less famous jobs, shall we put it, less glamorise shall we put it, lass glamorise jobs, it could shall we put it, less glamorise jobs, it could be cleaners, sexually harassed in their workplaces as well.",neutral,0,0.9908079504966736
00088,2018,01,2018-01,bbc_news_tv,control,"they want legislation to stop companies that seem assistant lead to tolerate sexual harassment in their organisations and they want a number of other measures, legal measures, that they think will help curb the sexual harassment that goes on around the world in workplaces.",neutral,0,0.9954714775085449
00089,2018,01,2018-01,bbc_news_tv,control,"the ending of nondisclosure agreements that ran, in ending of nondisclosure agreements that can, in some cases, be used to that ran, in some rases, be used to hide the that can, in some cases, be used to hide the perpetrator of sexual harassment.",neutral,0,0.9916185736656189
00090,2018,01,2018-01,bbc_news_tv,control,"they want legislation to stop companies that seem persistently to tolerate sexual harassment in their organisations and they also want a number of other measures, legal measures, that they think will help curb the sexual harassment that goes on around the world in workplaces.",neutral,0,0.9936677813529968
00091,2018,01,2018-01,bbc_news_tv,control,"we create our own supply chain, we work with collact own supply chain, we work with collect this, schools, charities, individuals at home, he collect the waste products for us and then we work with other local partners to work with other oral partners to orally work with other local partners to locally recyclable waste.",neutral,0,0.9986721277236938
00092,2018,06,2018-06,bbc_news_tv,control,china has shown a lot of goodwill so if this negotiation does not result in positive progress then china ran only not result in positive progress then china can only say we have done our china ran only say we have done our part.,negative,-1,0.9869547486305237
00093,2018,06,2018-06,bbc_news_tv,control,"it wants to spend more and cut taxes which may put it into conflict with the spending rules and the new the spending mles and the new interior the spending rules and the new interior minister, the league’s leader wants a tough new policy on migration which may provoke argument.",negative,-1,0.9936761260032654
00094,2018,06,2018-06,bbc_news_tv,control,so what we hope -- while we hope that russia can play a good positive that russia ran play a good positive rola.,neutral,0,0.9985742568969727
00095,2018,06,2018-06,bbc_news_tv,control,"well, cases like inherited disease, so i have met with many people that have genetic disease in their family that is inherited by their kids, so things like huntington’s disease, which is a degenerative neurological disorder, this is an example of a disease where we have known about the mutation that causes it for several decades but there’s currently no way to treat these patients.",neutral,0,0.9905399084091187
00096,2018,06,2018-06,bbc_news_tv,control,"well, cases like inherited disease, so i have met with many people that have genetic disease in their family that is inherited by their kids, so things like huntington’s disease, which is a degenerative neurological disorder, this is an example of a disease where we have known about the mutation that causes it for several decades but there’s currently no way to treat these patients.",neutral,0,0.9905399084091187
00097,2018,06,2018-06,bbc_news_tv,control,the rhino international restrictions on the which international restrictions on the drug which makes it harder to which makes it harder to control.,negative,-1,0.9976398944854736
00098,2018,03,2018-03,bbc_news_tv,control,the americans have successfully test a weapon which successfuuy test a weapon which dwarfs successfully test a weapon which dwarfs the force of the bomb dropped on hiroshima.,neutral,0,0.9968944787979126
00099,2018,03,2018-03,bbc_news_tv,control,"the constitutional rights of these marches are the rights of the citizens of the , and they should be protected even testing them out so they do not get their heads broken and sent to hospital.",neutral,0,0.9983274340629578
00100,2018,05,2018-05,bbc_news_tv,control,"i also explained the procedure, respecting the rules, and the selection respects the rules.",neutral,0,0.998538613319397
00101,2018,05,2018-05,bbc_news_tv,control,"again, i think it was sufficiently explained that the rules have been respected, and that mrjuncker is open to changing the rules in the future, if some people think they are not right.",neutral,0,0.9986342787742615
00102,2018,05,2018-05,bbc_news_tv,control,this is by the rules - do you think those rules are right?,neutral,0,0.9830837249755859
00103,2018,05,2018-05,bbc_news_tv,control,"the new benefit rules mean universal credit and mles mean universal credit and child tax rules mean universal credit and child tax credit are paid only for the first two children in a family, and not for any subsequent children.",negative,-1,0.9967480897903442
00104,2018,05,2018-05,bbc_news_tv,control,"the scottish government believes it will reduce the harm caused by excessive drinking, leading to fewer hospital admissions and alcohol-related deaths.",neutral,0,0.9901801347732544
00105,2018,10,2018-10,bbc_news_tv,control,"on the one hand, he was, because he gave a little money to the national health service, money that the tories starved the national health service of.",negative,-1,0.9848992824554443
00106,2018,10,2018-10,bbc_news_tv,control,"on the one hand, he was, because he gave a little money to the national health service, money that the tories starved the national health service of.",negative,-1,0.9848992824554443
00107,2018,10,2018-10,bbc_news_tv,control,": people are starting to be scared because of the assassination cases, especially the assassination rases, especially the young the assassination cases, especially the young women.",negative,-1,0.9815218448638916
00108,2019,04,2019-04,bbc_news_tv,control,"i had because, i mean, there are so many people, including even none of the classic bowel the european parliament in november 2017, has said that, symptoms, nothing thought i should get tested, and it look, beijing’s constant interference in hong kong puts at risk, to use its words, the long-term viability of the one was positive.",negative,-1,0.997612476348877
00109,2019,04,2019-04,bbc_news_tv,control,"india have won the test championship title, handed to the top test team in the rankings, for a third successive year and with it the million dollar prize.",neutral,0,0.9986050724983215
00110,2019,04,2019-04,bbc_news_tv,control,scientists say a simple blood test could greatly improve the speed and accuracy of pre-eclampsia diagnoses.,neutral,0,0.9967504739761353
00111,2019,04,2019-04,bbc_news_tv,control,british scientists say a new blood test could improve have you been here in the house?,neutral,0,0.9860023260116577
00112,2019,04,2019-04,bbc_news_tv,control,"researchers say the blood test, which measures the levels if you have your own house.",neutral,0,0.990095853805542
00113,2019,04,2019-04,bbc_news_tv,control,british scientists say a new blood test could improve the speed and accuracy of diagnosis for pre-eclampsia.,neutral,0,0.9967029690742493
00114,2019,04,2019-04,bbc_news_tv,control,"researchers say the blood test, which measures the levels of protein, is more reliable than the traditional methods, using blood pressure and urine samples.",neutral,0,0.9985727071762085
00115,2019,08,2019-08,bbc_news_tv,control,"so, if we look back at the last outbreak, the last big outbreak, right now we’re seeing about 100 cases week in the democratic republic of the congo.",negative,-1,0.9932076334953308
00116,2019,08,2019-08,bbc_news_tv,control,"now, that thing that was my positive for this outbreak is we have the vaccine now and there have been about 1 million doses manufactured in about 100,000 of those shipped out to the democratic repubﬁc those shipped out to the democratic republic of congo.",negative,-1,0.9927458167076111
00117,2019,08,2019-08,bbc_news_tv,control,"so, if we look back at the last outbreak, the last big outbreak, right now we’re seeing about 100 cases per week in the democratic republic of the congo.",negative,-1,0.9927074313163757
00118,2019,08,2019-08,bbc_news_tv,control,"now, the positive thing for this outbreak is we have the vaccine now and there have been about1 million doses manufactured and about 100,000 of those shipped out to the democratic republic of congo.",negative,-1,0.9914941787719727
00119,2019,08,2019-08,bbc_news_tv,control,health workers have talked about similarities between this year-long outbreak and the 2014 west africa outbreak.,negative,-1,0.9875867366790771
00120,2019,08,2019-08,bbc_news_tv,control,so there’s no reason we should have gotten a full year into this epidemic with so many deaths and so much suffering when we really have a wonderful scientific full.,negative,-1,0.9986532926559448
00121,2019,08,2019-08,bbc_news_tv,control,"i think if we didn’t have that vaccine, we’d be talking about an epidemic on the scale of west africa.",neutral,0,0.9969143867492676
00122,2019,08,2019-08,bbc_news_tv,control,but the old public health rulebook doesn’t old public health mlabook doesn’t actually old public health rulebook doesn’t actually work when you’re in a complex humanitarian crisis.,negative,-1,0.9984819293022156
00123,2019,08,2019-08,bbc_news_tv,control,and most cases in the of ebola deaths rases in the of ebola deaths were were unknown to health workers.,negative,-1,0.9924144148826599
00124,2019,08,2019-08,bbc_news_tv,control,some suspected cases have fled their suspected rases have ﬂed their homes suspected cases have fled their homes and spread the disease.,negative,-1,0.9967531561851501
00125,2019,08,2019-08,bbc_news_tv,control,this in infection control team are at risk of being contaminated after a patient tested positive.,negative,-1,0.998884379863739
00126,2019,08,2019-08,bbc_news_tv,control,that has a negative impact on the fight against this epidemic.,negative,-1,0.9994783997535706
00127,2019,08,2019-08,bbc_news_tv,control,frontline staff at one london hospital have worked with developers to create a mobile app to identify patients at risk of acute kidney injury.,neutral,0,0.9978122711181641
00128,2019,08,2019-08,bbc_news_tv,control,"the telegraph is found 58 different ones and were going to have a test, and even though i been trying to honour practice -- practice before the test, i’m still struggling was the test, i’m still was to use the test, i’m still struggling was to use at 58 also?",negative,-1,0.9993589520454407
00129,2019,02,2019-02,bbc_news_tv,control,"so i think if we’re looking at how do we keep engaging young people so that they’re doing positive things, instead of resorting to, you know, hurting each other, killing each other, and just doing really negative activity.",neutral,0,0.9963016510009766
00130,2019,01,2019-01,bbc_news_tv,control,"the move to brexit is putting the health service under massive strain, and we have no way of training the number of doctors that we need in this country, or the number of nurses that we need in this country, and that’s going to cost more than we can afford.",negative,-1,0.9969959259033203
00131,2019,01,2019-01,bbc_news_tv,control,"scientists say they’ve discovered the source of a cholera outbreak in yemen, which has become one of the worst epidemics of the disease in recorded history.",neutral,0,0.9902415871620178
00132,2019,01,2019-01,bbc_news_tv,control,"there have been more than a million cases of cholera, nearly 2,500 of them fatal since the outbreak began in 2017, nearly four years of war between a saudi-led coalition and iranian-backed rebels have crippled healthcare and sanitation in yemen.",negative,-1,0.9875268340110779
00133,2019,01,2019-01,bbc_news_tv,control,scientists believe they’ve discovered the source of a cholera outbreak in yemen which has become one of the worst epidemics of the disease in recorded history.,neutral,0,0.9885270595550537
00134,2019,01,2019-01,bbc_news_tv,control,"there have been more than a million cases of cholera, nearly 2,500 fatal, since the outbreak began in 2017.",negative,-1,0.9898189902305603
00135,2019,01,2019-01,bbc_news_tv,control,"one of course led by the ruling communist course lad by the mling communist party, the course led by the ruling communist party, the party that governs the state of keral, and the , the hindu nationalist party, which rules hindu nationalist party, which mles the country at hindu nationalist party, which rules the country at the centre and is in the opposition in kerala.",negative,-1,0.9936397671699524
00136,2019,01,2019-01,bbc_news_tv,control,"scientists say they’ve discovered the source of a cholera outbreak in yemen, one of the worst epidemics in history.",neutral,0,0.9898809790611267
00137,2019,01,2019-01,bbc_news_tv,control,"scientists say they’ve discovered the source of a cholera outbreak in yemen, which has become one of the worst epidemics of the disease in recorded history.",neutral,0,0.9902415871620178
00138,2019,01,2019-01,bbc_news_tv,control,"now, scientists from britain and france say they have discovered the source of the outbreak in yemen.",neutral,0,0.9909880757331848
00139,2019,01,2019-01,bbc_news_tv,control,scientists say they’ve discovered the source of a cholera outbreak in yemen - one of the worst epidemics in history.,neutral,0,0.9897719025611877
00140,2019,01,2019-01,bbc_news_tv,control,scientists say they’ve discovered the source of a cholera outbreak in yemen - one of the worst epidemics in history.,neutral,0,0.9897719025611877
