sentence_id,year,month,year_month,source,period,sentence,emotion,confidence
00012,2016,11,2016-11,bbc_news_tv,control,"when people turn up at hospital, the first thing they do is undress them and put them in a hospital gown.",fear,0.455885
00013,2016,11,2016-11,bbc_news_tv,control,a person who could once go into hospital being able to walk may come out not being able to care for themselves because of the length of time they have been in hospital.,sadness,0.572901
00014,2016,10,2016-10,bbc_news_tv,control,"but when you look at the top of the new rules by and at the top of the new mles by and you ran see the at the top of the new rules by and you can see the stringy material you ran see the stringy material which is you can see the stringy material which is classified cartledge, which which is classified arﬂedge, which we which is classified cartledge, which we haven’t seen -- nearal spine.",neutral,0.849724
00015,2016,10,2016-10,bbc_news_tv,control,"it is looking into the terms and conditions of online betting accounts, and wants to know in some cases the industry has in some rases the industry has been in some cases the industry has been cancelling winning bets and refusing to pay out.",anger,0.667828
00016,2016,10,2016-10,bbc_news_tv,control,"in the sport, england turned the first test around which the mark two quick wickets for spinner moeen ali put the visitors back in contention in the first test against bangladesh.",joy,0.663936
00017,2016,09,2016-09,bbc_news_tv,control,"as an example of the positive aspects that run the of the positive aspects that the way, a short of the positive aspects that run the way, a short way down the peninsulas, we have the hill houston business, the business park.",neutral,0.650819
00018,2016,09,2016-09,bbc_news_tv,control,"he mentioned the ban started in 1989, are we in a positive case with are we in a positive rase with regards to are we in a positive case with regards to this or is there still as much work to be done as ever?",neutral,0.887515
00019,2017,04,2017-04,bbc_news_tv,control,"up till now, we have been able to close nine of the 326 cases able to dose nine of the 326 cases of able to dose nine of the 326 rases of restoring able to close nine of the 326 cases of restoring family links.",neutral,0.868995
00020,2017,04,2017-04,bbc_news_tv,control,"we have been moving to more positive growth, still below 1% but nevertheless positive.",neutral,0.727569
00021,2017,04,2017-04,bbc_news_tv,control,negative or positive.,neutral,0.453888
00022,2017,08,2017-08,bbc_news_tv,control,and it took 100 matches but moeen ali is the first player to take a test hat-trick at the oval as england win the third test against south africa.,joy,0.866581
00023,2017,08,2017-08,bbc_news_tv,control,it was also the first time ever in test match cricket that three left handers were dismissed fora hat-trick as the hosts beat south africa by 239 runs to win the third test.,anger,0.679236
00024,2017,08,2017-08,bbc_news_tv,control,england now hold a 2-1 series lead as the only real south african resistance came from dean elgar who hit his eighth test century with the fourth and final test starting at old trafford on friday.,neutral,0.555774
00025,2017,08,2017-08,bbc_news_tv,control,"everywhere the united states has supported a regime change in pushed it and in many uses change in pushed it and in many cases succeeded in getting it, it rases succeeded in getting it, it has cases succeeded in getting it, it has been very, very bad.",disgust,0.754986
00026,2017,08,2017-08,bbc_news_tv,control,"you call the president a destructor, in many cases he is, a destmctor, in many cases he is, he’s a a destmctor, in many rases he is, he’s a positive a destructor, in many cases he is, he’s a positive disruptive force in he’s a positive dismptive force in washington he’s a positive disruptive force in washington and that’s we call washington and that’s we all washington washington and that’s we call washington the swamp.",neutral,0.904843
00027,2017,08,2017-08,bbc_news_tv,control,"the 28 year old kenyan also holds the world record set in the same stadioum in 2012, although his form this year hasn’t been as good cricket, and moeen ali took the first test hat-trick at the oval to win the 100th men’s test at the ground.",joy,0.865156
00028,2017,08,2017-08,bbc_news_tv,control,"in many cases he is, he’s a positive disruptive force in washington and that’s we call washington ""the swamp"".",neutral,0.771472
00029,2017,12,2017-12,bbc_news_tv,control,you are the treasury minister and you don’t know if there is a cost benefit analysis inside government on the benefits of taking measures to tackle air pollution on public health.,neutral,0.657333
00030,2017,12,2017-12,bbc_news_tv,control,"by modifying the rules for each individual the mles for each individual athlete, the rules for each individual athlete, they encourage people with a range of capabilities to compete together.",neutral,0.859469
00031,2017,02,2017-02,bbc_news_tv,control,lord coe has vowed to salvage the credibility of the sport he now rules but the past the sport he now mles but the past continues the sport he now rules but the past continues to blight his attempts to look to the future.,sadness,0.412832
00032,2017,02,2017-02,bbc_news_tv,control,ben barba won the grand final with the cronulla sharks last year before testing positive to the banned stimulant days later.,neutral,0.591374
00033,2017,02,2017-02,bbc_news_tv,control,over the past year there has been a decline in the number of our recommendations over role that have been implemented and most worryingly a decline in the area of the recommendations in the area of safety.,fear,0.982385
00034,2017,02,2017-02,bbc_news_tv,control,the scientists will start testing the technology by the end of the year.,neutral,0.766114
00035,2017,02,2017-02,bbc_news_tv,control,scientists will start testing the technology by the end of the year.,neutral,0.879285
00036,2017,02,2017-02,bbc_news_tv,control,"scientists will start testing the technology by the end the mission to antarctica will be a gamble, but the team hopes it’s one that will pay off.",neutral,0.619354
00037,2017,02,2017-02,bbc_news_tv,control,"it measures blood oxygen levels in the brain, to work out whether the person wants to answer ‘yes’ or ‘no’.",neutral,0.735094
00038,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0.917569
00039,2017,01,2017-01,bbc_news_tv,control,"and so job losses have been mounting, farmers have been finding it difficult to access money to pay for seeds and labourers and so in an attempt to soften the blow and help those worst affected, the prime minister announced a number of measures in a televised speech in new year’s eve, offering discounts on interest rates for small home loans, incentives for small businesses, waivers for farmers who took loans to sow crops and incentives for pregnant women and the elderly, and measures to encourage people to make digital payments rather than use cash.",neutral,0.338244
00040,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0.917569
00041,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0.917569
00042,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0.917569
00043,2017,01,2017-01,bbc_news_tv,control,scientists are working hard to come up with a vaccine to protect women of child-bearing age.,neutral,0.917569
00044,2017,07,2017-07,bbc_news_tv,control,"the world health organisation has announced that 1,500 people have now died because of a cholera outbreak in yemen.",sadness,0.762391
00045,2017,07,2017-07,bbc_news_tv,control,the said there were nearly a quarter-of-a-million suspected cases of the disease in the country since the outbreak started in april.,fear,0.450287
00046,2017,07,2017-07,bbc_news_tv,control,"the world health organisation says around a 250,000 suspected cases of the disease have been reported since april.",fear,0.489016
00047,2017,07,2017-07,bbc_news_tv,control,"the official rules say that the wife the official mles say that the wife to carry the official rules say that the wife to carry maybe your own wife, a neighbour, or someone else, and she must be at least 17 years old.",neutral,0.894737
00048,2017,06,2017-06,bbc_news_tv,control,"well, we have been very clear, if you look out there, national health service in our country, we saw it in manchester didn’t we, the incredible dedication, professionalism and care of people who work in our health service.",neutral,0.688427
00049,2017,06,2017-06,bbc_news_tv,control,"just visit florida, a picture as frontline in florida, a picture as fronﬂine in the wall florida, a picture as frontline in the wall against pollution.",neutral,0.740181
00050,2017,06,2017-06,bbc_news_tv,control,"he has gone , assen without leave, and california will work with president jinping to do what we can to offset the negative what we ran to offset the negative pathway what we can to offset the negative pathway taken by donald trump.",neutral,0.723396
00051,2017,06,2017-06,bbc_news_tv,control,"tour the scientists, engineers, and responsible citizens disappointed by the united states a positive decision, i want to say this: you will find a second home in france.",sadness,0.653994
00052,2017,06,2017-06,bbc_news_tv,control,"as i understand, it is not the paris limate understand, it is not the paris climate accord, or green measures, limate accord, or green measures, that are killing climate accord, or green measures, that are killing the coal industry, but elements of the market, such as cheaper energy that happens to be greener?",neutral,0.805857
00053,2017,06,2017-06,bbc_news_tv,control,"we have also had reports from the local also had reports from the oral hospital also had reports from the local hospital that people suffered broken bones as others were trying to jump out of windows to escape from this, and that it was a stampede of people trying to get out of the complex that injured a lot of people.",sadness,0.319179
00054,2017,03,2017-03,bbc_news_tv,control,scientists in the and collect mral can scientists in the and collect rural drug can greatly reduce the incidence of heart disease.,sadness,0.376598
00055,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",neutral,0.903382
00056,2017,11,2017-11,bbc_news_tv,control,having someone with a wall street background could have a big impact going forward as to what the rules and regulations to what the mles and regulations might look to what the rules and regulations might look like because that is part of the central bank’s mandate.,neutral,0.917846
00057,2017,11,2017-11,bbc_news_tv,control,singaporean scientists have brewed a probiotic beer they say can improve probiotic beer they say ran improve the probiotic beer they say can improve the health and boost the immune system.,neutral,0.752145
00058,2017,11,2017-11,bbc_news_tv,control,cricket and west indies have won their two-test series in zimbabwe after the 2nd test in bulawayo ended in a draw.,joy,0.680209
00059,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",neutral,0.903382
00060,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",neutral,0.903382
00061,2017,11,2017-11,bbc_news_tv,control,"the rules of basketball are one thing, but the rules of the global power club are another.",neutral,0.903382
00062,2017,11,2017-11,bbc_news_tv,control,dose to full employment and recovery.,neutral,0.604214
00063,2017,10,2017-10,bbc_news_tv,control,"inside cells are layers of sheets stacked together, a positive cathode, negative anode, with a separator in between filled with a liquid electrolyte.",neutral,0.81647
00064,2017,09,2017-09,bbc_news_tv,control,samsung has been granted permission to test the self driving tars permission to test the self driving cars in california.,neutral,0.748697
00065,2017,09,2017-09,bbc_news_tv,control,positive economic data at easing tensions in north korea currently having a positive reaction on the asian markets.,joy,0.914152
00066,2018,04,2018-04,bbc_news_tv,control,"we understand other cause cancer, we know that cancer is ultimately caused by mutations in , these mutations can arise , these mutations ran arise berause , these mutations can arise because of errors in , you can because of errors in , you ran all them, because of errors in , you can call them, these mutations can arise all them, these mutations ran arise berause you ran call them, these mutations can arise because you can inherit the errant because you ran inherit the errant gene, because because you can inherit the errant gene, because the mutation can be gene, berause the mutation ran be raused by a gene, because the mutation can be caused by a carcinogen, like x-rays or smoking, the mutations can be or smoking, the mutations ran be caused or or smoking, the mutations can be caused or bought into cells to vimses caused or bought into cells to viruses and they can occur because vimses and they ran occur because of random viruses and they can occur because of random chance, when cells replicate themselves, like any copying machine, they can make copying machine, they ran make errors.",neutral,0.898586
00067,2018,04,2018-04,bbc_news_tv,control,"we know that there are many virally cause cancers and those virally caused cancers can and those virally caused cancers ran be, their life and those virally caused cancers can be, their life cycle can be changed be, their life cycle ran be changed as it were be, their life cycle can be changed as it were the vaccination against vimses, as it were the vaccination against viruses, such as the human papilloma virus that causes cervical cancer, so there is a whole host from prevention, early detection, treatment and cure that we have understood in the last 50 years.",neutral,0.945859
00068,2018,04,2018-04,bbc_news_tv,control,"but we still do not understand the instance, pancreatic cancer remains cold to immune therapy, do is press fencer cold to immune therapy, do is press cancer for the most part remain cold to immunotherapy?",neutral,0.828012
00069,2018,04,2018-04,bbc_news_tv,control,you say that at times you walk down the corridors of your hospital after a particularty corridors of your hospital after a particularly gruelling shift and you struggle to find the sympathy that you feel you should have for some of the patients in your care.,anger,0.880324
00070,2018,04,2018-04,bbc_news_tv,control,"and so what tends to happen in these cases is what was to happen in these rases is what was a prediction, to happen in these cases is what was a prediction, once the time passes, becomes, quote, fact, without them having been able to actually confirm it.",neutral,0.894735
00071,2018,04,2018-04,bbc_news_tv,control,"based on the positive identification of this chemical agent by world leading experts at the defence science and technology laboratory, given in the past that russia has reproduced this agent and still would be capable of doing so, russia positive record of conducting state-sponsored assassinations and our assessment that russia views some defectors as legitimate targets for assassinations.",joy,0.437839
00072,2018,04,2018-04,bbc_news_tv,control,"on the side, you have all these people who think, even if they don’t agree with donald trump’s tariff measures, because they are tariff measures, berause they are opposed to tariff measures, because they are opposed to that, you know, they could see that it could be in breach of world trade organization provisions, but nevertheless here is provisions, but neverthelass here is criticism provisions, but nevertheless here is criticism of china of stealing the , intellectual property of international companies, i think a lot of international observers would have something to be with that.",neutral,0.781796
00073,2018,04,2018-04,bbc_news_tv,control,"we know that there are many virally caused cancers and those virally caused cancers can be, can be - their life cycle can be changed as it were, through vaccination against viruses, such as the human papilloma virus that causes cervical cancer.",neutral,0.862255
00074,2018,08,2018-08,bbc_news_tv,control,"but in a moment which change the course of the day and will perhaps change the course of the test, root out by virat change the course of the test, root run out by virat kohli, a superb out by virat kohli, a superb piece of fear run out by virat kohli, a superb piece of fear field in which triggered that collapse.",fear,0.984461
00075,2018,08,2018-08,bbc_news_tv,control,"more typically, you looked at the figures you know, you give them for the ‘205, when they were across the homes roughly around 30%, which was, so, four or five times the national mortality rate mortality rate, and spiking up to 50% regularly.",neutral,0.921538
00076,2018,08,2018-08,bbc_news_tv,control,"more typically, you looked at the figures you give them for the ‘205, when they were across the homes roughly around 30%, which was, so, four or five times the national mortality rate mortality rate, and spiking up to 50% regularly.",neutral,0.898407
00077,2018,08,2018-08,bbc_news_tv,control,"it is where future generations of elite test pilot ran future generations of elite test pilot can learn not how to pilot ran learn not just how to analyse how pilot can learn notjust how to analyse how the aircraft lies, but the way its electronics work, because electronic systems are an increasingly important part of the aviation industry today.",neutral,0.937972
00078,2018,08,2018-08,bbc_news_tv,control,"that predominantly lies in the european market for civil test pilots, not for aircraft test pilots, notjust for aircraft manufacturers in europe, but some of the operators with special needs.",neutral,0.946451
00079,2018,12,2018-12,bbc_news_tv,control,salvador’s national hospital is often the first point of call for domestic violence cases.,fear,0.451474
00080,2018,12,2018-12,bbc_news_tv,control,they are trying to agree on the technical rules that will apply to technical mles that will apply to all technical rules that will apply to all countries when the paris agreement comes into force in 2020.,neutral,0.935195
00081,2018,02,2018-02,bbc_news_tv,control,"and while the proportion of people dying from prostate cancer, the mortality rate, has fallen in the past decade, down by 6%, the decline in deaths from breast cancer has been even greater, at more than 10%.",sadness,0.365585
00082,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,neutral,0.8247
00083,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,neutral,0.8247
00084,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,neutral,0.8247
00085,2018,02,2018-02,bbc_news_tv,control,scientists studying the decline in the survival rates of polar bears have observed them expending more energy than they can consume as they hunt.,neutral,0.8247
00086,2018,02,2018-02,bbc_news_tv,control,what will happen if the test is negative and you’re not related?,neutral,0.551298
00087,2018,01,2018-01,bbc_news_tv,control,"clearly the high profile cases cleariy the high profila cases focusing clearly the high profile cases focusing on key figures, men in the entertainment business accused of sexual harassment but this is about women and men in less famous women and men in lass famous jobs, shall women and men in less famous jobs, shall we put it, less glamorise shall we put it, lass glamorise jobs, it could shall we put it, less glamorise jobs, it could be cleaners, sexually harassed in their workplaces as well.",fear,0.493362
00088,2018,01,2018-01,bbc_news_tv,control,"they want legislation to stop companies that seem assistant lead to tolerate sexual harassment in their organisations and they want a number of other measures, legal measures, that they think will help curb the sexual harassment that goes on around the world in workplaces.",anger,0.83626
00089,2018,01,2018-01,bbc_news_tv,control,"the ending of nondisclosure agreements that ran, in ending of nondisclosure agreements that can, in some cases, be used to that ran, in some rases, be used to hide the that can, in some cases, be used to hide the perpetrator of sexual harassment.",disgust,0.429791
00090,2018,01,2018-01,bbc_news_tv,control,"they want legislation to stop companies that seem persistently to tolerate sexual harassment in their organisations and they also want a number of other measures, legal measures, that they think will help curb the sexual harassment that goes on around the world in workplaces.",anger,0.65455
00091,2018,01,2018-01,bbc_news_tv,control,"we create our own supply chain, we work with collact own supply chain, we work with collect this, schools, charities, individuals at home, he collect the waste products for us and then we work with other local partners to work with other oral partners to orally work with other local partners to locally recyclable waste.",neutral,0.919478
00092,2018,06,2018-06,bbc_news_tv,control,china has shown a lot of goodwill so if this negotiation does not result in positive progress then china ran only not result in positive progress then china can only say we have done our china ran only say we have done our part.,neutral,0.927859
00093,2018,06,2018-06,bbc_news_tv,control,"it wants to spend more and cut taxes which may put it into conflict with the spending rules and the new the spending mles and the new interior the spending rules and the new interior minister, the league’s leader wants a tough new policy on migration which may provoke argument.",anger,0.958053
00094,2018,06,2018-06,bbc_news_tv,control,so what we hope -- while we hope that russia can play a good positive that russia ran play a good positive rola.,joy,0.511888
00095,2018,06,2018-06,bbc_news_tv,control,"well, cases like inherited disease, so i have met with many people that have genetic disease in their family that is inherited by their kids, so things like huntington’s disease, which is a degenerative neurological disorder, this is an example of a disease where we have known about the mutation that causes it for several decades but there’s currently no way to treat these patients.",neutral,0.73429
00096,2018,06,2018-06,bbc_news_tv,control,"well, cases like inherited disease, so i have met with many people that have genetic disease in their family that is inherited by their kids, so things like huntington’s disease, which is a degenerative neurological disorder, this is an example of a disease where we have known about the mutation that causes it for several decades but there’s currently no way to treat these patients.",neutral,0.73429
00097,2018,06,2018-06,bbc_news_tv,control,the rhino international restrictions on the which international restrictions on the drug which makes it harder to which makes it harder to control.,fear,0.352878
00098,2018,03,2018-03,bbc_news_tv,control,the americans have successfully test a weapon which successfuuy test a weapon which dwarfs successfully test a weapon which dwarfs the force of the bomb dropped on hiroshima.,neutral,0.400625
00099,2018,03,2018-03,bbc_news_tv,control,"the constitutional rights of these marches are the rights of the citizens of the , and they should be protected even testing them out so they do not get their heads broken and sent to hospital.",neutral,0.60012
00100,2018,05,2018-05,bbc_news_tv,control,"i also explained the procedure, respecting the rules, and the selection respects the rules.",joy,0.61754
00101,2018,05,2018-05,bbc_news_tv,control,"again, i think it was sufficiently explained that the rules have been respected, and that mrjuncker is open to changing the rules in the future, if some people think they are not right.",neutral,0.772067
00102,2018,05,2018-05,bbc_news_tv,control,this is by the rules - do you think those rules are right?,neutral,0.853483
00103,2018,05,2018-05,bbc_news_tv,control,"the new benefit rules mean universal credit and mles mean universal credit and child tax rules mean universal credit and child tax credit are paid only for the first two children in a family, and not for any subsequent children.",neutral,0.838131
00104,2018,05,2018-05,bbc_news_tv,control,"the scottish government believes it will reduce the harm caused by excessive drinking, leading to fewer hospital admissions and alcohol-related deaths.",joy,0.562333
00105,2018,10,2018-10,bbc_news_tv,control,"on the one hand, he was, because he gave a little money to the national health service, money that the tories starved the national health service of.",disgust,0.622948
00106,2018,10,2018-10,bbc_news_tv,control,"on the one hand, he was, because he gave a little money to the national health service, money that the tories starved the national health service of.",disgust,0.622948
00107,2018,10,2018-10,bbc_news_tv,control,": people are starting to be scared because of the assassination cases, especially the assassination rases, especially the young the assassination cases, especially the young women.",fear,0.983515
00108,2019,04,2019-04,bbc_news_tv,control,"i had because, i mean, there are so many people, including even none of the classic bowel the european parliament in november 2017, has said that, symptoms, nothing thought i should get tested, and it look, beijing’s constant interference in hong kong puts at risk, to use its words, the long-term viability of the one was positive.",fear,0.556092
00109,2019,04,2019-04,bbc_news_tv,control,"india have won the test championship title, handed to the top test team in the rankings, for a third successive year and with it the million dollar prize.",joy,0.733522
00110,2019,04,2019-04,bbc_news_tv,control,scientists say a simple blood test could greatly improve the speed and accuracy of pre-eclampsia diagnoses.,neutral,0.864929
00111,2019,04,2019-04,bbc_news_tv,control,british scientists say a new blood test could improve have you been here in the house?,neutral,0.631985
00112,2019,04,2019-04,bbc_news_tv,control,"researchers say the blood test, which measures the levels if you have your own house.",neutral,0.853496
00113,2019,04,2019-04,bbc_news_tv,control,british scientists say a new blood test could improve the speed and accuracy of diagnosis for pre-eclampsia.,neutral,0.806743
00114,2019,04,2019-04,bbc_news_tv,control,"researchers say the blood test, which measures the levels of protein, is more reliable than the traditional methods, using blood pressure and urine samples.",neutral,0.785623
00115,2019,08,2019-08,bbc_news_tv,control,"so, if we look back at the last outbreak, the last big outbreak, right now we’re seeing about 100 cases week in the democratic republic of the congo.",neutral,0.85956
00116,2019,08,2019-08,bbc_news_tv,control,"now, that thing that was my positive for this outbreak is we have the vaccine now and there have been about 1 million doses manufactured in about 100,000 of those shipped out to the democratic repubﬁc those shipped out to the democratic republic of congo.",neutral,0.882087
00117,2019,08,2019-08,bbc_news_tv,control,"so, if we look back at the last outbreak, the last big outbreak, right now we’re seeing about 100 cases per week in the democratic republic of the congo.",neutral,0.876802
00118,2019,08,2019-08,bbc_news_tv,control,"now, the positive thing for this outbreak is we have the vaccine now and there have been about1 million doses manufactured and about 100,000 of those shipped out to the democratic republic of congo.",neutral,0.844186
00119,2019,08,2019-08,bbc_news_tv,control,health workers have talked about similarities between this year-long outbreak and the 2014 west africa outbreak.,neutral,0.924649
00120,2019,08,2019-08,bbc_news_tv,control,so there’s no reason we should have gotten a full year into this epidemic with so many deaths and so much suffering when we really have a wonderful scientific full.,neutral,0.428257
00121,2019,08,2019-08,bbc_news_tv,control,"i think if we didn’t have that vaccine, we’d be talking about an epidemic on the scale of west africa.",surprise,0.462189
00122,2019,08,2019-08,bbc_news_tv,control,but the old public health rulebook doesn’t old public health mlabook doesn’t actually old public health rulebook doesn’t actually work when you’re in a complex humanitarian crisis.,neutral,0.73289
00123,2019,08,2019-08,bbc_news_tv,control,and most cases in the of ebola deaths rases in the of ebola deaths were were unknown to health workers.,neutral,0.728077
00124,2019,08,2019-08,bbc_news_tv,control,some suspected cases have fled their suspected rases have ﬂed their homes suspected cases have fled their homes and spread the disease.,neutral,0.431887
00125,2019,08,2019-08,bbc_news_tv,control,this in infection control team are at risk of being contaminated after a patient tested positive.,fear,0.786487
00126,2019,08,2019-08,bbc_news_tv,control,that has a negative impact on the fight against this epidemic.,sadness,0.294952
00127,2019,08,2019-08,bbc_news_tv,control,frontline staff at one london hospital have worked with developers to create a mobile app to identify patients at risk of acute kidney injury.,fear,0.558055
00128,2019,08,2019-08,bbc_news_tv,control,"the telegraph is found 58 different ones and were going to have a test, and even though i been trying to honour practice -- practice before the test, i’m still struggling was the test, i’m still was to use the test, i’m still struggling was to use at 58 also?",sadness,0.50288
00129,2019,02,2019-02,bbc_news_tv,control,"so i think if we’re looking at how do we keep engaging young people so that they’re doing positive things, instead of resorting to, you know, hurting each other, killing each other, and just doing really negative activity.",neutral,0.616378
00130,2019,01,2019-01,bbc_news_tv,control,"the move to brexit is putting the health service under massive strain, and we have no way of training the number of doctors that we need in this country, or the number of nurses that we need in this country, and that’s going to cost more than we can afford.",sadness,0.33814
00131,2019,01,2019-01,bbc_news_tv,control,"scientists say they’ve discovered the source of a cholera outbreak in yemen, which has become one of the worst epidemics of the disease in recorded history.",disgust,0.932216
00132,2019,01,2019-01,bbc_news_tv,control,"there have been more than a million cases of cholera, nearly 2,500 of them fatal since the outbreak began in 2017, nearly four years of war between a saudi-led coalition and iranian-backed rebels have crippled healthcare and sanitation in yemen.",sadness,0.368327
00133,2019,01,2019-01,bbc_news_tv,control,scientists believe they’ve discovered the source of a cholera outbreak in yemen which has become one of the worst epidemics of the disease in recorded history.,disgust,0.88418
00134,2019,01,2019-01,bbc_news_tv,control,"there have been more than a million cases of cholera, nearly 2,500 fatal, since the outbreak began in 2017.",neutral,0.672519
00135,2019,01,2019-01,bbc_news_tv,control,"one of course led by the ruling communist course lad by the mling communist party, the course led by the ruling communist party, the party that governs the state of keral, and the , the hindu nationalist party, which rules hindu nationalist party, which mles the country at hindu nationalist party, which rules the country at the centre and is in the opposition in kerala.",neutral,0.559655
00136,2019,01,2019-01,bbc_news_tv,control,"scientists say they’ve discovered the source of a cholera outbreak in yemen, one of the worst epidemics in history.",disgust,0.940761
00137,2019,01,2019-01,bbc_news_tv,control,"scientists say they’ve discovered the source of a cholera outbreak in yemen, which has become one of the worst epidemics of the disease in recorded history.",disgust,0.932216
00138,2019,01,2019-01,bbc_news_tv,control,"now, scientists from britain and france say they have discovered the source of the outbreak in yemen.",neutral,0.758872
00139,2019,01,2019-01,bbc_news_tv,control,scientists say they’ve discovered the source of a cholera outbreak in yemen - one of the worst epidemics in history.,disgust,0.954878
00140,2019,01,2019-01,bbc_news_tv,control,scientists say they’ve discovered the source of a cholera outbreak in yemen - one of the worst epidemics in history.,disgust,0.954878
00141,2019,07,2019-07,bbc_news_tv,control,"i remember the protests and i remember not saving in, and the person who saved my life said, if jeremy hunt had had his way and that hospital had closed down, and i had a double lung infection, seconds from dying, he said, the next a&e is too far away.",sadness,0.788299
00142,2019,07,2019-07,bbc_news_tv,control,"but it views them with suspicion from the outset, and it’s sickening when faced with such serious allegations as people’s deaths - the government took so long to admit theirfailure to send their own independent reviewer documents that ministers knew would have linked the fitness for work tests with the deaths of disabled benefit claimants.",fear,0.903267
00143,2019,06,2019-06,bbc_news_tv,control,"we have been hearing these positive words over the past 24 hours, these positive words over the past 2a hours, particularly from the 24 hours, particularty from the mexican 2a hours, particularly from the mexican president, saying time and time again they wanted to come to a conclusion but wanted to keep a friendly relationship with america and all the talks around these negotiations has been to to bring the on board and to show that mexico that that but mexico has been doing to to resolve the problems.",joy,0.518533
00144,2019,06,2019-06,bbc_news_tv,control,those are two different things and scientists from different fields can scientists from different fields ran look at scientists from different fields can look at the same data and come to different conclusions.,neutral,0.938538
00145,2019,06,2019-06,bbc_news_tv,control,"we have been hearing these positive words over the last 24 hours, these positive words over the last 2a hours, particularly from mexico’s 24 hours, particularty from mexico’s president in 2a hours, particularly from mexico’s president in which he was saying time and time again that they wanted to come to a conclusion, they wanted to keep a friendly relationship with america, and certainly all the talk around these negotiations has been to and bring the united states on board and to show that mexico has been trying to address these problems.",neutral,0.628566
00146,2019,06,2019-06,bbc_news_tv,control,those are two different things and scientists from different fields ran and scientists from different fields can look at the same ran look at the same data can look at the same data and come to different conclusions.,neutral,0.943528
